,shopcode,shopname,shoplat,shoplng
7432,b3dg,炒飯超人 (台中大雅店),24.2261608,120.6469405
7433,f6qe,Mister Donut (新北淡水捷運門市),25.16834496,121.4454254
7434,dt83,Mr.Wish 鮮果茶玩家 (豐原站前店),24.2533692,120.7222656
7435,vvuf,品口炒飯,23.9820783,120.6843298
7436,dxy5,二良脆皮烤饅頭 (家樂福經國店),25.0159488,121.3050123
7437,livf,goo咖哩 グーカレー (台南安平店),22.98805379,120.1871981
7438,m28u,MR.KUO-I 憨漫先生手作飲品 (高雄楠梓店),22.72468,120.3138117
7439,z7w6,愛雞 土雞肉飯專賣店,25.053299,121.42967775
7440,v9di,伙食餐館,25.0489118,121.45979274
7441,iyeo,上味炒麵,24.15853129,120.64876988
7442,up7w,異人館 (台南中華店),23.0173475,120.2278767
7443,xsn3,享聚食堂,24.076245,120.54748
7444,imxx,3鼎紅麻辣鴨血臭豆腐 (南屯黎明店),24.13800099,120.6374607
7445,howr,炸雞大獅 (中庄仁愛店),22.6362815,120.39496426
7446,a8qp,白皮屋手做潤餅蛋餅,25.05119336,121.2940363
7447,yr6q,嗨！吃雞吧 海南雞飯,24.8391663,121.0045933
7448,gwmr,品樂小食光 (燉飯炒泡麵炸物),25.06610825,121.4938104
7449,g8wd,1+1蒲燒鰻魚飯、肉羹麵專賣,25.1585515,121.43367515
7450,zd4l,滿滿豬腳專賣,22.6073983,120.33423968
7451,jwpt,御品香鴨肉焿,24.8258701,121.7727602
7452,htd4,Pizza Hut必勝客披薩專賣店 (屏東東港店),22.4635321,120.45986384
7453,ehqd,摩斯漢堡Mos Burger (南勢角店),24.9915608,121.5117182
7454,b07p,牛牛廚房,23.7998264,120.46189965
7455,l4og,咕蔬搖-新概念舒肥鹹水雞 (台中黎明店),24.16420465,120.6344012
7456,e3iy,八方雲集 (和美糖友店),24.10820007,120.53399658
7457,ui3q,品萱手作茶飲 (鳳山南華店),22.5949778,120.3443389
7458,d5ch,小田園 (鳳山大明店),22.60729471,120.34183107
7459,dblv,1/3家,22.7374682,120.3274685
7460,gibj,Burger King 漢堡王 (淡水英專店),25.1719778,121.4458799
7461,lase,關帝廟口正宗四神湯,25.0336255,121.4500014
7462,vyzw,微風早午餐,23.478318,120.4443494
7463,l8vh,A-BAO阿寶早午餐 (民雄福樂店),23.5273698,120.44576514
